race_date,number,distance,weather,surface,run_up_distance,track_condition,num_of_racers,racer_0_name,racer_0_equip,racer_0_weight,racer_0_post_position,racer_0_official_finish,racer_0_age,racer_0_jockey_key,racer_0_trainer_key,racer_0_last_pp,racer_0_meds,racer_0_dollar_odds,racer_0_comments,racer_0_sex,racer_1_name,racer_1_equip,racer_1_weight,racer_1_post_position,racer_1_official_finish,racer_1_age,racer_1_jockey_key,racer_1_trainer_key,racer_1_last_pp,racer_1_meds,racer_1_dollar_odds,racer_1_comments,racer_1_sex,racer_2_name,racer_2_equip,racer_2_weight,racer_2_post_position,racer_2_official_finish,racer_2_age,racer_2_jockey_key,racer_2_trainer_key,racer_2_last_pp,racer_2_meds,racer_2_dollar_odds,racer_2_comments,racer_2_sex,racer_3_name,racer_3_equip,racer_3_weight,racer_3_post_position,racer_3_official_finish,racer_3_age,racer_3_jockey_key,racer_3_trainer_key,racer_3_last_pp,racer_3_meds,racer_3_dollar_odds,racer_3_comments,racer_3_sex,racer_4_name,racer_4_equip,racer_4_weight,racer_4_post_position,racer_4_official_finish,racer_4_age,racer_4_jockey_key,racer_4_trainer_key,racer_4_last_pp,racer_4_meds,racer_4_dollar_odds,racer_4_comments,racer_4_sex,racer_5_name,racer_5_equip,racer_5_weight,racer_5_post_position,racer_5_official_finish,racer_5_age,racer_5_jockey_key,racer_5_trainer_key,racer_5_last_pp,racer_5_meds,racer_5_dollar_odds,racer_5_comments,racer_5_sex,racer_6_name,racer_6_equip,racer_6_weight,racer_6_post_position,racer_6_official_finish,racer_6_age,racer_6_jockey_key,racer_6_trainer_key,racer_6_last_pp,racer_6_meds,racer_6_dollar_odds,racer_6_comments,racer_6_sex,racer_7_name,racer_7_equip,racer_7_weight,racer_7_post_position,racer_7_official_finish,racer_7_age,racer_7_jockey_key,racer_7_trainer_key,racer_7_last_pp,racer_7_meds,racer_7_dollar_odds,racer_7_comments,racer_7_sex,racer_8_name,racer_8_equip,racer_8_weight,racer_8_post_position,racer_8_official_finish,racer_8_age,racer_8_jockey_key,racer_8_trainer_key,racer_8_last_pp,racer_8_meds,racer_8_dollar_odds,racer_8_comments,racer_8_sex,racer_9_name,racer_9_equip,racer_9_weight,racer_9_post_position,racer_9_official_finish,racer_9_age,racer_9_jockey_key,racer_9_trainer_key,racer_9_last_pp,racer_9_meds,racer_9_dollar_odds,racer_9_comments,racer_9_sex,racer_10_name,racer_10_equip,racer_10_weight,racer_10_post_position,racer_10_official_finish,racer_10_age,racer_10_jockey_key,racer_10_trainer_key,racer_10_last_pp,racer_10_meds,racer_10_dollar_odds,racer_10_comments,racer_10_sex,racer_11_name,racer_11_equip,racer_11_weight,racer_11_post_position,racer_11_official_finish,racer_11_age,racer_11_jockey_key,racer_11_trainer_key,racer_11_last_pp,racer_11_meds,racer_11_dollar_odds,racer_11_comments,racer_11_sex,racer_12_name,racer_12_equip,racer_12_weight,racer_12_post_position,racer_12_official_finish,racer_12_age,racer_12_jockey_key,racer_12_trainer_key,racer_12_last_pp,racer_12_meds,racer_12_dollar_odds,racer_12_comments,racer_12_sex,racer_13_name,racer_13_equip,racer_13_weight,racer_13_post_position,racer_13_official_finish,racer_13_age,racer_13_jockey_key,racer_13_trainer_key,racer_13_last_pp,racer_13_meds,racer_13_dollar_odds,racer_13_comments,racer_13_sex,racer_14_name,racer_14_equip,racer_14_weight,racer_14_post_position,racer_14_official_finish,racer_14_age,racer_14_jockey_key,racer_14_trainer_key,racer_14_last_pp,racer_14_meds,racer_14_dollar_odds,racer_14_comments,racer_14_sex,racer_15_name,racer_15_equip,racer_15_weight,racer_15_post_position,racer_15_official_finish,racer_15_age,racer_15_jockey_key,racer_15_trainer_key,racer_15_last_pp,racer_15_meds,racer_15_dollar_odds,racer_15_comments,racer_15_sex,racer_16_name,racer_16_equip,racer_16_weight,racer_16_post_position,racer_16_official_finish,racer_16_age,racer_16_jockey_key,racer_16_trainer_key,racer_16_last_pp,racer_16_meds,racer_16_dollar_odds,racer_16_comments,racer_16_sex
2023-04-22 0:00,1,905.256,R,D,40,FT,6,Miss Bobbit,bf,124,1,2,7.24,136538,9263,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-11-03, RACE_NUMBER: 2, OFL_FINISH: 6",L,11.0,"rated insidebkstr,angle widest str,closed,just missed,wrong lead",M,Tickle Her Toe,None,122,2,4,4.99,112072,947087,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-08, RACE_NUMBER: 5, OFL_FINISH: 1",L,1.85,"btwn foes rally3/8,dead aim top str,evenly late missed show",M,Midnight Meadow,None,124,3,3,6.13,101342,46521,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-10-06, RACE_NUMBER: 8, OFL_FINISH: 3",L,5.65,"tracked rail,hold,shuffled 3/8,look path 1/8,closed for3rd",M,Silver Tunes,bf,119,4,1,6.05,170371,966252,"TRACK/CODE: GP, TRACK/NAME: GULFSTREAM PARK, RACE_DATE: 2022-05-26, RACE_NUMBER: 4, OFL_FINISH: 8",L,8.15,"brk sharp,loose lead,well rated,open up1/8,just held",M,Gormley Girl,None,124.0,5.0,6.0,4.1,112023.0,39421.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-08, RACE_NUMBER: 4, OFL_FINISH: 10",L,19.8,"unhurried early trail,mild run5/16,could not reach contention str",M,Take It Easy,None,117.0,6.0,5.0,7.06,172213.0,7101.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-01, RACE_NUMBER: 4, OFL_FINISH: 8",L,1.25,"stalk 3rd on hold5W bkstr,contend5W turn home,needed more late",M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-22 0:00,2,905.256,R,D,40,FT,6,More Savvy,bf,122,1,3,5.02,161608,966252,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-01, RACE_NUMBER: 3, OFL_FINISH: 6",L,11.35,"tracked inside, moved out 4wd into str, ran on",M,My Final Trick,bn,123,2,1,6.13,168307,21334,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-08, RACE_NUMBER: 6, OFL_FINISH: 9",L,2.1,"away alertly, duel insd-2p, headed, led, brushes, held foe",M,Subzero Plus,b,122,3,5,9.21,160933,972960,"TRACK/CODE: FE, TRACK/NAME: FORT ERIE, RACE_DATE: 2022-10-24, RACE_NUMBER: 10, OFL_FINISH: 9",L,40.05,"bump foe after brk, forced 5wd into str, no rally",M,Mi Tormenta,b,125,4,4,5.09,161043,7069,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-10, RACE_NUMBER: 12, OFL_FINISH: 10",L,18.7,"bmpd into foe after brk, near inside, kept on",M,Chasing Joy,b,123.0,5.0,2.0,3.99,164186.0,224281.0,"TRACK/CODE: GP, TRACK/NAME: GULFSTREAM PARK, RACE_DATE: 2023-04-02, RACE_NUMBER: 9, OFL_FINISH: 6",L,0.6,"bmpd after brk, force pace, duel 2-3w, led, brushes, outfinished",M,Erratique,b,117.0,6.0,6.0,4.0,172213.0,944346.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-10, RACE_NUMBER: 12, OFL_FINISH: 9",L,10.4,"stalked outside, 4-6w, no rally",M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-22 0:00,3,1005.84,R,D,40,FT,6,Forest Maiden,None,118,1,3,2.99,110011,19329,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-01, RACE_NUMBER: 6, OFL_FINISH: 5",None,7.55,"rated midpack,could not gain turn,finish up well,non threat 3rd",F,Fast'n Sexy,bf,116,2,6,3.13,172213,132715,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-09, RACE_NUMBER: 7, OFL_FINISH: 10",L,7.45,"to lead start,collared outside1/4,folded fence 1/8th pole",F,Delilah's Revenge,None,116,3,4,3.06,170371,132715,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-11-17, RACE_NUMBER: 3, OFL_FINISH: 7",L,30.45,"brk sharp,shuffled btwn half to go,scrubbed 1/4,4w str,minors",F,Celtic Revival,b,118,4,2,3.09,112072,267819,"TRACK/CODE: PEN, TRACK/NAME: PENN NATIONAL, RACE_DATE: 2023-03-30, RACE_NUMBER: 1, OFL_FINISH: 5",None,5.55,"close eye early speed,bid leadbtwn1/4,could not match strides str",F,Thunderheavyrain,None,121.0,5.0,5.0,3.13,148509.0,208793.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-10, RACE_NUMBER: 1, OFL_FINISH: 7",L,19.4,"brush gate st,trail,nudged keep pace,trail str,late energy 16th",F,Canadiansweetheart,b,118.0,6.0,1.0,3.27,164186.0,224281.0,"TRACK/CODE: GP, TRACK/NAME: GULFSTREAM PARK, RACE_DATE: 2023-03-11, RACE_NUMBER: 2, OFL_FINISH: 1",L,0.4,"sat off top two in hand,engaged 3W1/4,lead 3/16, edging away late",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-22 0:00,4,1005.84,R,D,40,FT,9,Barwick,b,118,1,5,2.98,154446,23527,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-02, RACE_NUMBER: 6, OFL_FINISH: 10",None,15.25,"settled, inside advance, flattened out",C,Kinetic Stone,b,118,2,1,3.05,164885,271434,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-04, RACE_NUMBER: 6, OFL_FINISH: 9",L,4.45,"pace inside, moved clear, held sway, kept to task",G,Swoop,b,121,3,3,3.06,124456,44072,,L,5.9,"veered in brk, 2-3w turn, angled out 3/16, lug in, gaining late",G,Forest Star,None,121,4,4,3.03,148509,208793,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-06-24, RACE_NUMBER: 3, OFL_FINISH: 5",L,46.35,"brief press, chased 2-3w, kept on stretch",G,Jim's Hope,b,118.0,5.0,7.0,3.01,136538.0,39421.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-02, RACE_NUMBER: 6, OFL_FINISH: 8",L,16.25,"step slow, fanned 9wide, no threat",G,Miah Said,b,116.0,6.0,9.0,3.19,169800.0,142257.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-05-29, RACE_NUMBER: 2, OFL_FINISH: 4",L,38.5,"chased mid-pack, 4-5w turn, faded",C,Legs Like Gizmo,b,118.0,7.0,8.0,3.17,164186.0,41552.0,,L,2.6,"awkward brk, advanced 3-4w btw 7/16, flattened",C,Wickedblackbullet,None,118.0,8.0,6.0,3.07,17473.0,959116.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-11-25, RACE_NUMBER: 5, OFL_FINISH: 7",L,5.8,"4-5w, no threat",G,Mendeljohn (IRE),None,121.0,9.0,2.0,3.2,168307.0,1978.0,"TRACK/CODE: TP, TRACK/NAME: TURFWAY PARK, RACE_DATE: 2023-02-24, RACE_NUMBER: 2, OFL_FINISH: 6",L,2.85,"stalked outside, 3wide, no headway, held place",G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-22 0:00,5,1005.84,R,D,40,FT,6,Kimono Kate,None,119,1,4,4.2,172213,268137,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-11-19, RACE_NUMBER: 4, OFL_FINISH: 7",L,3.1,"track rail midpack,in touch dueling leaders 3/16,even run minors",M,I'm a Bourbon Girl,b,119,2,6,3.15,136538,225664,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-10-01, RACE_NUMBER: 7, OFL_FINISH: 10",L,2.35,"lead break fence,set fractions 1/4,headed outside3/16,retreat16th",F,Theodoropoulos,b,124,3,1,4.07,126417,279521,"TRACK/CODE: GP, TRACK/NAME: GULFSTREAM PARK, RACE_DATE: 2023-02-12, RACE_NUMBER: 2, OFL_FINISH: 4",L,5.0,"pressured pace,hound leader turn,3Wto lead 3/16,kept on,held safe",M,Lady Xi,None,124,4,3,4.02,160933,157100,"TRACK/CODE: TP, TRACK/NAME: TURFWAY PARK, RACE_DATE: 2023-03-17, RACE_NUMBER: 4, OFL_FINISH: 8",None,31.95,"squeezed st, trailed inside bkstr,off rail3/16,5path,closed 3rd",M,Jab,None,124.0,5.0,5.0,5.03,148509.0,208793.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-10, RACE_NUMBER: 3, OFL_FINISH: 6",L,2.7,"allow to settle back,mild rally 4w1/4,6w1/8,could not contend",M,Hekla's Aura,f,124.0,6.0,2.0,5.01,112072.0,9263.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-09-15, RACE_NUMBER: 2, OFL_FINISH: 3",L,4.8,"stalk 4W1/2,2path track2nd flight,rouse btwn3/16,best stride late",M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-22 0:00,6,1005.84,R,D,40,FT,10,Takota,b,118,1,8,6.02,170371,259413,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-08, RACE_NUMBER: 7, OFL_FINISH: 1",L,10.2,"brk outwardly, attended inside, off rail 3/16, faded",M,Diamond Crush,b,123,2,6,4.21,132064,956608,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-10, RACE_NUMBER: 6, OFL_FINISH: 1",L,16.65,"forced out bit brk, insd/2-3w, came out str, improved",M,Firenspice,bf,123,3,9,4.02,112023,957885,"TRACK/CODE: GP, TRACK/NAME: GULFSTREAM PARK, RACE_DATE: 2023-03-26, RACE_NUMBER: 9, OFL_FINISH: 2",L,3.8,"bump brk, forwardly, pace 2wide, faded",M,Billyjane,b,123,4,4,4.96,125821,23527,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-08, RACE_NUMBER: 7, OFL_FINISH: 7",L,35.25,"bump brk & shuffled, 3-5w turn, angled out upper, kicked on",M,Basalt Street,None,118.0,5.0,1.0,4.16,172213.0,214001.0,"TRACK/CODE: FG, TRACK/NAME: FAIR GROUNDS, RACE_DATE: 2023-02-04, RACE_NUMBER: 7, OFL_FINISH: 2",L,3.4,"eased off pace, 2-3w, lack room 1/4-3/16, split foes, surge insd",M,Ol' Blondie,None,123.0,6.0,5.0,5.15,112072.0,39421.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-11-27, RACE_NUMBER: 7, OFL_FINISH: 9",L,18.2,"chased, 4wide turn, urged along, 5wide str, evenly",M,Giverny,None,123.0,7.0,10.0,5.13,168307.0,1978.0,"TRACK/CODE: TP, TRACK/NAME: TURFWAY PARK, RACE_DATE: 2023-03-09, RACE_NUMBER: 6, OFL_FINISH: 9",L,12.35,"forwardly, pressed 3wide, empty",M,Mitzi,None,123.0,8.0,7.0,4.99,136538.0,24624.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-10-30, RACE_NUMBER: 7, OFL_FINISH: 9",L,22.35,"outpaced early, swung 7w, passed tired foes",M,Botta Swing,None,119.0,9.0,2.0,3.01,164186.0,44072.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-05-01, RACE_NUMBER: 2, OFL_FINISH: 1",None,2.35,"settled, 4-6w turn, led mid-str, outkicked, held 2nd",F,Verdejo,b,123.0,10.0,3.0,4.22,110011.0,214001.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-11-05, RACE_NUMBER: 10, OFL_FINISH: 10",L,8.7,"stalked, move 5wide turn, led, dueled, outkicked",M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-22 0:00,7,1106.424,R,D,20,FT,5,Zakhari,bf,124,1,3,4.02,168307,963253,"TRACK/CODE: GP, TRACK/NAME: GULFSTREAM PARK, RACE_DATE: 2023-02-03, RACE_NUMBER: 4, OFL_FINISH: 6",L,16.7,"lead early,chase inside turn, no challenge top2,heldfor show",G,Amber Light,b,124,2,5,4.95,136538,480,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-11-18, RACE_NUMBER: 3, OFL_FINISH: 5",L,3.15,"throttled back1/2 track leaders,loomed3Wbtwn stretch,gave way 1/8",G,Coherence,b,119,3,2,3.13,110011,261971,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-11, RACE_NUMBER: 6, OFL_FINISH: 4",L,7.05,"wait near rear,rally4Wmidturn,briefly lead5path1/8,outgamed late",C,Allen Diggs,None,124,4,1,4.02,164186,243794,"TRACK/CODE: GP, TRACK/NAME: GULFSTREAM PARK, RACE_DATE: 2023-03-01, RACE_NUMBER: 4, OFL_FINISH: 5",L,1.5,"press pace2path,short lead on turn,collared outside3/16,game win",G,Midnight Moonshine,bf,119.0,5.0,4.0,2.95,142290.0,7338.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-04, RACE_NUMBER: 6, OFL_FINISH: 6",L,1.75,"trailed,unhurried into turn,roused1/4,5path1/8passed tired foe",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-22 0:00,8,1005.84,R,D,40,FT,6,Livin On Luv,b,122,1,3,4.95,112072,39421,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-11-26, RACE_NUMBER: 6, OFL_FINISH: 1",L,7.85,"stumbled start, inside advance, missed 2nd",M,Unable,f,122,2,2,3.99,168307,157987,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-09-24, RACE_NUMBER: 3, OFL_FINISH: 7",None,46.6,"stalk, 2-3w, float 6w into str, carried out str, up 2nd",M,Magniloquent,None,122,3,4,4.03,164186,1978,"TRACK/CODE: GP, TRACK/NAME: GULFSTREAM PARK, RACE_DATE: 2023-01-15, RACE_NUMBER: 7, OFL_FINISH: 2",L,0.95,"moved clear, pace, drifted 4wd into str, no kick",M,Sacred Dancer,b,122,4,1,4.02,158429,117583,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-10, RACE_NUMBER: 4, OFL_FINISH: 6",L,12.05,"moved 5wd btw 3/16, drifted out str, edged clear",M,Spanish Beauty,f,122.0,5.0,6.0,4.08,161608.0,10090.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-10, RACE_NUMBER: 6, OFL_FINISH: 10",L,3.15,"bore out turn, not persevered with, ducked in late, walked",M,Speedy River,None,118.0,6.0,5.0,3.19,124456.0,196884.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-07-16, RACE_NUMBER: 8, OFL_FINISH: 2",L,3.45,"brk out & step slow, 3-7w, needed more",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-22 0:00,9,1005.84,R,D,40,FT,8,Quiet Maddelena,f,114,1,8,3.11,172213,271434,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-01, RACE_NUMBER: 6, OFL_FINISH: 8",L,4.7,"battle rail lead,duel ins3/16,first to give way,folded 1/8",F,Forest Choice,None,123,2,6,4.06,117699,959116,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-11-10, RACE_NUMBER: 2, OFL_FINISH: 1",L,10.9,"contest pace2path,battle btwn 3/16,empty for the drive",M,Natasha's Bizniz,None,123,3,4,4.21,161608,966252,"TRACK/CODE: FE, TRACK/NAME: FORT ERIE, RACE_DATE: 2022-10-03, RACE_NUMBER: 2, OFL_FINISH: 2",L,10.4,"reined in sitting behind speed, adv nicely rail turn, no path str",M,Know How (GB),None,123,4,3,5.18,124456,7101,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-10, RACE_NUMBER: 4, OFL_FINISH: 4",L,2.25,"rated mid pack btwn,closer order 1/43w,5W3/16,nose in front late",M,Sneaky Rebel,b,123.0,5.0,5.0,3.97,110011.0,944346.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-11-24, RACE_NUMBER: 3, OFL_FINISH: 5",L,9.3,"sat of speed good trip,loom3W3/16,lead upper str,faded late",M,Northern Passage,None,118.0,6.0,2.0,5.96,170371.0,271903.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-10, RACE_NUMBER: 4, OFL_FINISH: 11",L,13.4,"brk out st,settled at back,weave way outs rally7W3/16,just missed",M,Too Much Vino,b,120.0,7.0,1.0,3.1,112072.0,243794.0,"TRACK/CODE: GP, TRACK/NAME: GULFSTREAM PARK, RACE_DATE: 2023-01-18, RACE_NUMBER: 2, OFL_FINISH: 1",L,3.35,"off slow,trail,right hand urge3/8,pass runners mid str,late burst",F,Murder Hornet,b,125.0,8.0,7.0,3.93,17473.0,968159.0,"TRACK/CODE: GP, TRACK/NAME: GULFSTREAM PARK, RACE_DATE: 2023-03-16, RACE_NUMBER: 3, OFL_FINISH: 1",L,6.6,"4Wouts bkstr,urged more midturn, no response,could not factor",M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-23 0:00,1,1106.424,L,D,20,FT,6,Not Negotiable,None,124,1,5,4.0,164885,20416,"TRACK/CODE: TP, TRACK/NAME: TURFWAY PARK, RACE_DATE: 2023-03-11, RACE_NUMBER: 5, OFL_FINISH: 4",L,1.35,"broke sharp lead,headed midturn,battled inside mid stretch,faded",M,Popnfizz,None,114,2,1,2.96,172213,167361,"TRACK/CODE: TP, TRACK/NAME: TURFWAY PARK, RACE_DATE: 2023-03-25, RACE_NUMBER: 6, OFL_FINISH: 8",None,11.05,"hound pace,snug hold, engage5/16,to lead str,kept on to hold",F,Neolithic Nation,None,119,3,6,3.12,160933,157100,"TRACK/CODE: TP, TRACK/NAME: TURFWAY PARK, RACE_DATE: 2023-03-09, RACE_NUMBER: 1, OFL_FINISH: 4",None,45.65,"unhurried at back,save ground turn,no presence through lane",F,Janis Joplin,None,119,4,4,3.07,110011,20416,"TRACK/CODE: CD, TRACK/NAME: CHURCHILL DOWNS, RACE_DATE: 2022-09-29, RACE_NUMBER: 3, OFL_FINISH: 4",L,2.5,"stalked behind pace horses,waited rail turn,when clear str no run",F,Attabe,None,119.0,5.0,2.0,2.98,154446.0,41552.0,"TRACK/CODE: WO, TRACK/NAME: WOODBINE, RACE_DATE: 2022-12-09, RACE_NUMBER: 6, OFL_FINISH: 2",L,3.65,"allow to settle back,roused angle out1/4,5path drive,full of ru",F,Gamble's Orb,b,124.0,6.0,3.0,4.16,164186.0,41552.0,"TRACK/CODE: GP, TRACK/NAME: GULFSTREAM PARK, RACE_DATE: 2023-03-03, RACE_NUMBER: 6, OFL_FINISH: 6",L,5.5,"track3W1/2,join battle3w1/4,in the mix top lane,switch leads late",M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
